"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Тест для проверки функции поиска","1","0","Тест для проверки главной страницы","0"
"0","","0","Тест для проверки кнопки добавления статей","1","0","Тест для проверки главной страницы","0"
"0","","0","Тест для проверки блока с ссылками на статьи","1","0","Тест для проверки главной страницы","0"
"0","","0","Тест для проверки кнопки, для добавления новых статей по категории aliens","1","0","Тест для проверки страницы aliens","0"
"0","","0","Тест на соответствие названия статьи","1","0","Тест для проверки страницы статьи","0"
"0","","0","Тест для проверки конечной ссылки кнопки лого на главной странице","1","0","Тест для проверки главной страницы","0"
"0","","0","Тест для проверки главного меню","1","0","Тест для проверки главной страницы","0"
"0","","0","Тест для проверки кнопки возврата на главную страницу сайта","1","0","Тест для проверки страницы статьи","0"
"0","","0","Тест для проверки блока с ссылками на дополнительные ресурсы","1","0","Тест для проверки подписку на бесплатную рассылку","0"
"1","","0","Тест для проверки полей ввода информации для подписки на рассылку","0","0","Тест для проверки подписку на бесплатную рассылку","0"
"0","","0","Тест для проверки кнопок для пересылки статьи","1","0","Тест для проверки страницы статьи","0"
