"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31061","test_main_page_search_funktion","tests","Tue May 13 18:35:17 MSK 2025","passed","Tue May 13 18:35:48 MSK 2025","","test_main_page","",""
"","10248","test_main_page_btm_for_more_news","tests","Tue May 13 18:36:03 MSK 2025","passed","Tue May 13 18:36:13 MSK 2025","","test_main_page","",""
"","7726","test_main_page_body_links_article","tests","Tue May 13 18:35:51 MSK 2025","passed","Tue May 13 18:35:59 MSK 2025","","test_main_page","",""
"","63893","test_check_resource_link","tests","Tue May 13 18:33:13 MSK 2025","passed","Tue May 13 18:34:17 MSK 2025","","test_aliens_page","",""
"","5555","test_article_page_name","tests","Tue May 13 18:36:26 MSK 2025","passed","Tue May 13 18:36:32 MSK 2025","","test_page_article","",""
"","6069","test_main_page_logo_btm","tests","Tue May 13 18:35:08 MSK 2025","passed","Tue May 13 18:35:14 MSK 2025","","test_main_page","",""
"","4067","test_main_page_header_btm","tests","Tue May 13 18:35:00 MSK 2025","passed","Tue May 13 18:35:04 MSK 2025","","test_main_page","",""
"","6835","test_home_return_btn","tests","Tue May 13 18:36:16 MSK 2025","passed","Tue May 13 18:36:23 MSK 2025","","test_page_article","",""
"","7759","test_free_subscription_info_links","tests","Tue May 13 18:34:49 MSK 2025","passed","Tue May 13 18:34:57 MSK 2025","","test_free_subscription","",""
"","24785","test_free_subscription_offer_view","tests","Tue May 13 18:34:20 MSK 2025","broken","Tue May 13 18:34:45 MSK 2025","","test_free_subscription","",""
"","23764","test_article_page_links_send_btn","tests","Tue May 13 18:36:35 MSK 2025","passed","Tue May 13 18:36:59 MSK 2025","","test_page_article","",""
